emoji,fr_signification,unicode,en_signification
🇺🇿, drapeau pour l'Ouzbékistan ,\U0001f1fa\U0001f1ff,flag for Uzbekistan
🆚, vs ,\U0001f19a,vs
🇻🇺, drapeau de Vanuatu ,\U0001f1fb\U0001f1fa,flag for Vanuatu
🇻🇦, drapeau pour la Cité du Vatican ,\U0001f1fb\U0001f1e6,flag for Vatican City
🇻🇪, drapeau pour le Venezuela ,\U0001f1fb\U0001f1ea,flag for Venezuela
🇻🇳, drapeau pour le Vietnam ,\U0001f1fb\U0001f1f3,flag for Vietnam
♍, virgo ,\u264d,virgo
🏴󠁧󠁢󠁷󠁬󠁳󠁿, Pays de Galles ,\U0001f3f4\U000e0067\U000e0062\U000e0077\U000e006c\U000e0073\U000e007f,Wales
🇼🇫, drapeau pour Wallis et Futuna ,\U0001f1fc\U0001f1eb,flag for Wallis & Futuna
🇪🇭, drapeau pour le Sahara occidental ,\U0001f1ea\U0001f1ed,flag for Western Sahara
🇾🇪, drapeau du Yémen ,\U0001f1fe\U0001f1ea,flag for Yemen
🇿🇲, drapeau pour la Zambie ,\U0001f1ff\U0001f1f2,flag for Zambia
🇿🇼, drapeau pour le Zimbabwe ,\U0001f1ff\U0001f1fc,flag for Zimbabwe
🧮, Abacus ,\U0001f9ee,abacus
🩹, sparadrap ,\U0001fa79,adhesive bandage
🎟, billets d'entrée ,\U0001f39f,admission tickets
🧑, adulte ,\U0001f9d1,adult
🧑🏿, adulte teint foncé ,\U0001f9d1\U0001f3ff,adult dark skin tone
🧑🏻, adulte teint clair ,\U0001f9d1\U0001f3fb,adult light skin tone
🧑🏾, peau moyenne noir adulte ton ,\U0001f9d1\U0001f3fe,adult medium-dark skin tone
🧑🏼, moyen adulte teint clair ,\U0001f9d1\U0001f3fc,adult medium-light skin tone
🧑🏽, teint moyen adulte ,\U0001f9d1\U0001f3fd,adult medium skin tone
🚡, tramway aérien ,\U0001f6a1,aerial tramway
✈, avion ,\u2708,airplane
🛬, avion arrivant ,\U0001f6ec,airplane arriving
🛫, départ avion ,\U0001f6eb,airplane departure
⏰, réveil ,\u23f0,alarm clock
⚗, alambic ,\u2697,alembic
👽, alien ,\U0001f47d,alien
👾, space invader ,\U0001f47e,space invader
🚑, ambulance ,\U0001f691,ambulance
🏈, le football ,\U0001f3c8,football
🏺, amphore ,\U0001f3fa,amphora
⚓, ancre ,\u2693,anchor
💢, colère ,\U0001f4a2,anger
😠, colère ,\U0001f620,angry
👿, diablotin ,\U0001f47f,imp
😧, angoissé ,\U0001f627,anguished
🐜, ant ,\U0001f41c,ant
📶, puissance du signal ,\U0001f4f6,signal strength
😰, sueur froide ,\U0001f630,cold sweat
🚛, camion articulé ,\U0001f69b,articulated lorry
🎨, art ,\U0001f3a8,art
😲, étonné ,\U0001f632,astonished
⚛, symbole atome ,\u269b,atom symbol
🛺, auto rickshaw ,\U0001f6fa,auto rickshaw
🚗, voiture rouge ,\U0001f697,red car
🥑, avocat ,\U0001f951,avocado
🪓, hache ,\U0001fa93,axe
👶, bébé ,\U0001f476,baby
👼, ange ,\U0001f47c,angel
👼🏿, bébé ange teint foncé ,\U0001f47c\U0001f3ff,baby angel dark skin tone
👼🏻, b Aby ange teint clair ,\U0001f47c\U0001f3fb,baby angel light skin tone
👼🏾, bébé ange teint moyen foncé ,\U0001f47c\U0001f3fe,baby angel medium-dark skin tone
👼🏼, bébé teint moyen-lumière ange ,\U0001f47c\U0001f3fc,baby angel medium-light skin tone
👼🏽, bébé ange teint moyen ,\U0001f47c\U0001f3fd,baby angel medium skin tone
🍼, biberon ,\U0001f37c,baby bottle
🐤, poussin bébé ,\U0001f424,baby chick
👶🏿, bébé teint foncé ,\U0001f476\U0001f3ff,baby dark skin tone
👶🏻, bébé teint clair ,\U0001f476\U0001f3fb,baby light skin tone
👶🏾, bébé teint moyen foncé ,\U0001f476\U0001f3fe,baby medium-dark skin tone
👶🏼, bébé teint moyen clair ,\U0001f476\U0001f3fc,baby medium-light skin tone
👶🏽, teint moyen bébé ,\U0001f476\U0001f3fd,baby medium skin tone
🚼, symbole bébé ,\U0001f6bc,baby symbol
👇, points bas ,\U0001f447,point down
👇🏿, revers index pointant vers le bas teint foncé ,\U0001f447\U0001f3ff,backhand index pointing down dark skin tone
👇🏻, revers index pointant vers le bas teint clair ,\U0001f447\U0001f3fb,backhand index pointing down light skin tone
👇🏾, revers index pointant vers le bas teint moyen foncé ,\U0001f447\U0001f3fe,backhand index pointing down medium-dark skin tone
👇🏼, revers index vers le bas moyen carnation -light ,\U0001f447\U0001f3fc,backhand index pointing down medium-light skin tone
👇🏽, revers index pointant vers le bas teint moyen ,\U0001f447\U0001f3fd,backhand index pointing down medium skin tone
👈, Point gauche ,\U0001f448,point left
👈🏿, revers index pointant vers la gauche teint foncé ,\U0001f448\U0001f3ff,backhand index pointing left dark skin tone
👈🏻, revers pointant l'index gauche teint clair ,\U0001f448\U0001f3fb,backhand index pointing left light skin tone
👈🏾, revers index pointant vers le teint moyen foncé gauche ,\U0001f448\U0001f3fe,backhand index pointing left medium-dark skin tone
👈🏼, revers index pointant peau moyenne lumière gauche ton ,\U0001f448\U0001f3fc,backhand index pointing left medium-light skin tone
👈🏽, revers index pointant vers la gauche carnation moyenne ,\U0001f448\U0001f3fd,backhand index pointing left medium skin tone
👉, bon point ,\U0001f449,point right
👉🏿, revers index pointant le ton de la peau droite sombre ,\U0001f449\U0001f3ff,backhand index pointing right dark skin tone
👉🏻, revers index pointant le ton de la peau droite lumière ,\U0001f449\U0001f3fb,backhand index pointing right light skin tone
👉🏾, revers index pointant vers ton droit de peau moyen foncé ,\U0001f449\U0001f3fe,backhand index pointing right medium-dark skin tone
👉🏼, revers index pointant vers le teint moyen bonne lumière ,\U0001f449\U0001f3fc,backhand index pointing right medium-light skin tone
👉🏽, revers point d'indice ing teint moyen droit ,\U0001f449\U0001f3fd,backhand index pointing right medium skin tone
👆, pointer vers le haut 2,\U0001f446,point up 2
👆🏿,Revers index pointant vers le haut teint foncé ,\U0001f446\U0001f3ff,backhand index pointing up dark skin tone
👆🏻, revers index pointant vers le haut teint clair ,\U0001f446\U0001f3fb,backhand index pointing up light skin tone
👆🏾, revers index pointant vers le haut le teint moyen foncé ,\U0001f446\U0001f3fe,backhand index pointing up medium-dark skin tone
👆🏼, revers index pointant vers le haut teint moyen lumière ,\U0001f446\U0001f3fc,backhand index pointing up medium-light skin tone
👆🏽, revers index pointant vers le haut teint moyen ,\U0001f446\U0001f3fd,backhand index pointing up medium skin tone
🥓, lard ,\U0001f953,bacon
🦡, Badger ,\U0001f9a1,badger
🏸, raquette de badminton et shuttlecock ,\U0001f3f8,badminton racquet and shuttlecock
🥯, bagel ,\U0001f96f,bagel
🛄, réclamation de bagages ,\U0001f6c4,baggage claim
🥖, pain baguette ,\U0001f956,baguette bread
⚖, écailles ,\u2696,scales
🦲, homme chauve ,\U0001f9b2,bald
👨‍🦲, ,\U0001f468\u200d\U0001f9b2,bald man
👩‍🦲, chauve femme chauve ,\U0001f469\u200d\U0001f9b2,bald woman
🩰, chaussures de ballet ,\U0001fa70,ballet shoes
🎈, ballon ,\U0001f388,balloon
🗳, urne au vote ,\U0001f5f3,ballot box with ballot
☑, urne avec chèque ,\u2611,ballot box with check
🍌, banane ,\U0001f34c,banana
🪕, banjo ,\U0001fa95,banjo
🏦, banque ,\U0001f3e6,bank
📊, chart bar ,\U0001f4ca,bar chart
💈, coiffeur ,\U0001f488,barber
⚾, baseball ,\u26be,baseball
🧺, panier ,\U0001f9fa,basket
🏀, basket ,\U0001f3c0,basketball
🦇, chauve-souris ,\U0001f987,bat
🛁, baignoire ,\U0001f6c1,bathtub
🔋, batterie ,\U0001f50b,battery
🏖, plage avec un parasol ,\U0001f3d6,beach with umbrella
😁, sourire ,\U0001f601,grin
🐻, ours ,\U0001f43b,bear
🧔, personne barbu ,\U0001f9d4,bearded person
🧔🏿, ton personne peau noire barbu ,\U0001f9d4\U0001f3ff,bearded person dark skin tone
🧔🏻, personne barbu teint clair ,\U0001f9d4\U0001f3fb,bearded person light skin tone
🧔🏾, tonus peau personne moyenne noir barbu ,\U0001f9d4\U0001f3fe,bearded person medium-dark skin tone
🧔🏼, tonus peau personne moyenne lumière barbu ,\U0001f9d4\U0001f3fc,bearded person medium-light skin tone
🧔🏽, personne barbu carnation moyenne ,\U0001f9d4\U0001f3fd,bearded person medium skin tone
💓, battement de coeur ,\U0001f493,heartbeat
🛏, lit ,\U0001f6cf,bed
🍺, bière ,\U0001f37a,beer
🔔, bell ,\U0001f514,bell
🔕, pas de cloche ,\U0001f515,no bell
🛎, cloche groom ,\U0001f6ce,bellhop bell
🍱, bento ,\U0001f371,bento
🧃, boîte de boisson ,\U0001f9c3,beverage box
🚲, vélo ,\U0001f6b2,bike
👙, bikini ,\U0001f459,bikini
🧢, bouchon à bec ,\U0001f9e2,billed cap
☣, signe Biohazard ,\u2623,biohazard sign
🐦, oiseau ,\U0001f426,bird
🎂, anniversaire ,\U0001f382,birthday
⚫, cercle noir ,\u26ab,black circle
🏴, ondulant drapeau noir ,\U0001f3f4,waving black flag
🖤, coeur noir ,\U0001f5a4,black heart
⬛, noir grand carré ,\u2b1b,black large square
◾, noir moyen petit carré ,\u25fe,black medium small square
◼, carré moyen noir ,\u25fc,black medium square
✒, nib noir ,\u2712,black nib
▪, noir petit carré ,\u25aa,black small square
🔲, bouton carré noir ,\U0001f532,black square button
👱‍♂️, homme blond ,\U0001f471\u200d\u2642\ufe0f,blond-haired man
👱🏿‍♂️, blond h a été diffusé l'homme teint foncé ,\U0001f471\U0001f3ff\u200d\u2642\ufe0f,blond-haired man dark skin tone
👱🏻‍♂️, teint lumière homme aux cheveux blonds ,\U0001f471\U0001f3fb\u200d\u2642\ufe0f,blond-haired man light skin tone
👱🏾‍♂️, peau aux cheveux blonds homme moyen noir ton ,\U0001f471\U0001f3fe\u200d\u2642\ufe0f,blond-haired man medium-dark skin tone
👱🏼‍♂️, peau aux cheveux blonds homme moyen léger ton ,\U0001f471\U0001f3fc\u200d\u2642\ufe0f,blond-haired man medium-light skin tone
👱🏽‍♂️, peau moyenne homme blond ton ,\U0001f471\U0001f3fd\u200d\u2642\ufe0f,blond-haired man medium skin tone
👱, personne aux cheveux blonds ,\U0001f471,person with blond hair
👱🏿, cheveux blonds personne teint foncé ,\U0001f471\U0001f3ff,blond-haired person dark skin tone
👱🏻, teint lumière personne aux cheveux blonds ,\U0001f471\U0001f3fb,blond-haired person light skin tone
👱🏾, peau aux cheveux blonds personne moyenne noir ton ,\U0001f471\U0001f3fe,blond-haired person medium-dark skin tone
👱🏼, peau blonde aux cheveux moyenne lumière personne ton ,\U0001f471\U0001f3fc,blond-haired person medium-light skin tone
👱🏽, peau personne moyenne aux cheveux blonds ton ,\U0001f471\U0001f3fd,blond-haired person medium skin tone
👱‍♀️, femme blonde aux cheveux ,\U0001f471\u200d\u2640\ufe0f,blond-haired woman
👱🏿‍♀️, femme blonde aux cheveux foncé teint ,\U0001f471\U0001f3ff\u200d\u2640\ufe0f,blond-haired woman dark skin tone
👱🏻‍♀️, teint lumière femme blonde aux cheveux ,\U0001f471\U0001f3fb\u200d\u2640\ufe0f,blond-haired woman light skin tone
👱🏾‍♀️, peau aux cheveux blonds femme moyenne noir ton ,\U0001f471\U0001f3fe\u200d\u2640\ufe0f,blond-haired woman medium-dark skin tone
👱🏼‍♀️, peau blonde aux cheveux moyenne lumière femme ton ,\U0001f471\U0001f3fc\u200d\u2640\ufe0f,blond-haired woman medium-light skin tone
👱🏽‍♀️, femme peau moyenne aux cheveux blonds ton ,\U0001f471\U0001f3fd\u200d\u2640\ufe0f,blond-haired woman medium skin tone
🌼, fleurs ,\U0001f33c,blossom
🐡, Blowfish ,\U0001f421,blowfish
📘, livre bleu ,\U0001f4d8,blue book
🔵, grand cercle bleu ,\U0001f535,large blue circle
💙, coeur bleu ,\U0001f499,blue heart
🟦, carré bleu ,\U0001f7e6,blue square
🐗, sanglier ,\U0001f417,boar
💣, bombe ,\U0001f4a3,bomb
🦴, os ,\U0001f9b4,bone
🔖, signet ,\U0001f516,bookmark
📑, onglets de signets ,\U0001f4d1,bookmark tabs
📚, livres ,\U0001f4da,books
🍾, bouteille popping liège ,\U0001f37e,bottle with popping cork
💐, bouquet ,\U0001f490,bouquet
🏹, arc et flèche ,\U0001f3f9,bow and arrow
🥣, bol avec une cuillère ,\U0001f963,bowl with spoon
🎳, quilles ,\U0001f3b3,bowling
🥊, gant de boxe ,\U0001f94a,boxing glove
👦, garçon ,\U0001f466,boy
👦🏿, garçon teint foncé ,\U0001f466\U0001f3ff,boy dark skin tone
👦🏻, garçon peau claire ton ,\U0001f466\U0001f3fb,boy light skin tone
👦🏾, garçon moyen foncé teint ,\U0001f466\U0001f3fe,boy medium-dark skin tone
👦🏼, garçon teint moyen clair ,\U0001f466\U0001f3fc,boy medium-light skin tone
👦🏽, ton garçon de peau moyenne ,\U0001f466\U0001f3fd,boy medium skin tone
🧠, cerveau ,\U0001f9e0,brain
🍞, pain ,\U0001f35e,bread
🤱, allaitement ,\U0001f931,breast-feeding
🤱🏿, peau foncée allaitement ton ,\U0001f931\U0001f3ff,breast-feeding dark skin tone
🤱🏻, peau claire allaitement ton ,\U0001f931\U0001f3fb,breast-feeding light skin tone
🤱🏾, breas t-alimentation peau moyenne noir ton ,\U0001f931\U0001f3fe,breast-feeding medium-dark skin tone
🤱🏼, peau moyenne lumière allaitement tonus ,\U0001f931\U0001f3fc,breast-feeding medium-light skin tone
🤱🏽, peau moyenne allaitement ton ,\U0001f931\U0001f3fd,breast-feeding medium skin tone
🧱, brique ,\U0001f9f1,brick
👰, mariée avec voile ,\U0001f470,bride with veil
👰🏿, mariée avec le teint voile noir ,\U0001f470\U0001f3ff,bride with veil dark skin tone
👰🏻, mariée avec voile teint clair ,\U0001f470\U0001f3fb,bride with veil light skin tone
👰🏾, mariée à voile moyen teint foncé ,\U0001f470\U0001f3fe,bride with veil medium-dark skin tone
👰🏼, mariée avec le teint voile moyen clair ,\U0001f470\U0001f3fc,bride with veil medium-light skin tone
👰🏽, mariée avec le teint moyen voile ,\U0001f470\U0001f3fd,bride with veil medium skin tone
🌉, pont la nuit ,\U0001f309,bridge at night
💼, porte-documents ,\U0001f4bc,briefcase
🩲, mémoires ,\U0001fa72,briefs
🔆, haute luminosité ,\U0001f506,high brightness
🥦, brocoli ,\U0001f966,broccoli
💔, coeur brisé ,\U0001f494,broken heart
🧹, balai ,\U0001f9f9,broom
🟤, cercle brun ,\U0001f7e4,brown circle
🤎, coeur brun ,\U0001f90e,brown heart
🟫, carré brun ,\U0001f7eb,brown square
🐛, bug ,\U0001f41b,bug
🏗, bâtiment construction ,\U0001f3d7,building construction
🚅, bullettrain avant ,\U0001f685,bullettrain front
🌯, burrito ,\U0001f32f,burrito
🚌, bus ,\U0001f68c,bus
🚏, busstop ,\U0001f68f,busstop
👤, buste en silhouette ,\U0001f464,bust in silhouette
👥, bustes en silhouette ,\U0001f465,busts in silhouette
🧈, beurre ,\U0001f9c8,butter
🦋, papillon ,\U0001f98b,butterfly
🌵, cactus ,\U0001f335,cactus
📆, déchirage calendrier ,\U0001f4c6,tear-off calendar
🤙, appelez-moi la main ,\U0001f919,call me hand
🤙🏿, appelez-moi la main teint foncé ,\U0001f919\U0001f3ff,call me hand dark skin tone
🤙🏻, appelez-moi tends le teint clair ,\U0001f919\U0001f3fb,call me hand light skin tone
🤙🏾, appelez-moi main teint moyen foncé ,\U0001f919\U0001f3fe,call me hand medium-dark skin tone
🤙🏼, appelez-moi le teint moyen lumière main ,\U0001f919\U0001f3fc,call me hand medium-light skin tone
🤙🏽, appelez-moi le teint moyen main ,\U0001f919\U0001f3fd,call me hand medium skin tone
🐫, chameau à deux bosse ,\U0001f42b,two-hump camel
📷, appareil photo ,\U0001f4f7,camera
📸, appareil photo avec flash ,\U0001f4f8,camera with flash
🏕, camping ,\U0001f3d5,camping
🕯, bougie ,\U0001f56f,candle
🍬, bonbons ,\U0001f36c,candy
🥫, conserves alimentaires ,\U0001f96b,canned food
🛶, canoe ,\U0001f6f6,canoe
🗃, boîte de fichier carte ,\U0001f5c3,card file box
📇, carte Index ,\U0001f4c7,card index
🗂, séparateurs d'index de carte ,\U0001f5c2,card index dividers
🎠, cheval de carrousel ,\U0001f3a0,carousel horse
🎏, drapeaux ,\U0001f38f,flags
🥕, carotte ,\U0001f955,carrot
🏰, château européen ,\U0001f3f0,european castle
🐱, visage de chat ,\U0001f431,cat face
😹, chat joie ,\U0001f639,joy cat
😼, chat sourire en coin ,\U0001f63c,smirk cat
⛓, chaînes ,\u26d3,chains
🪑, chaise ,\U0001fa91,chair
📉, tableau avec tendance à la baisse ,\U0001f4c9,chart with downwards trend
📈, graphique avec tendance à la hausse ,\U0001f4c8,chart with upwards trend
💹, carte ,\U0001f4b9,chart
🧀, fromage coin ,\U0001f9c0,cheese wedge
🏁, drapeau à damiers ,\U0001f3c1,checkered flag
🍒, cerises ,\U0001f352,cherries
🌸, fleurs de cerisier ,\U0001f338,cherry blossom
♟, pion d'échecs ,\u265f,chess pawn
🌰, châtaigne ,\U0001f330,chestnut
🐔, poulet ,\U0001f414,chicken
🧒, enfant ,\U0001f9d2,child
🧒🏿, enfant teint foncé ,\U0001f9d2\U0001f3ff,child dark skin tone
🧒🏻, enfant teint clair ,\U0001f9d2\U0001f3fb,child light skin tone
🧒🏾, enfant teint moyen foncé ,\U0001f9d2\U0001f3fe,child medium-dark skin tone
🧒🏼, enfant teint moyen clair ,\U0001f9d2\U0001f3fc,child medium-light skin tone
🧒🏽, teint moyen d'enfants ,\U0001f9d2\U0001f3fd,child medium skin tone
🚸, enfants passage ,\U0001f6b8,children crossing
🐿, tamia ,\U0001f43f,chipmunk
🍫, barre de chocolat ,\U0001f36b,chocolate bar
🥢, baguettes ,\U0001f962,chopsticks
⛪, église ,\u26ea,church
🚬, fumer ,\U0001f6ac,smoking
🎦, cinéma ,\U0001f3a6,cinema
Ⓜ, m ,\u24c2,m
🎪, tente de cirque ,\U0001f3aa,circus tent
🏙, paysage urbain ,\U0001f3d9,cityscape
🌆, coucher de soleil ville ,\U0001f306,city sunset
🗜, compression ,\U0001f5dc,compression
🎬, clapper ,\U0001f3ac,clapper
👏, applaudissement ,\U0001f44f,clap
👏🏿, mains frappant teint foncé ,\U0001f44f\U0001f3ff,clapping hands dark skin tone
👏🏻, clapping mains teint clair ,\U0001f44f\U0001f3fb,clapping hands light skin tone
👏🏾, clapping peau moyenne noir ton mains ,\U0001f44f\U0001f3fe,clapping hands medium-dark skin tone
👏🏼, clapping peau moyenne lumière ton mains ,\U0001f44f\U0001f3fc,clapping hands medium-light skin tone
👏🏽, frappant moyen carnation mains ,\U0001f44f\U0001f3fd,clapping hands medium skin tone
🏛, bâtiment classique ,\U0001f3db,classical building
🍻, bières ,\U0001f37b,beers
🥂, verres tintent ,\U0001f942,clinking glasses
📋, presse-papier ,\U0001f4cb,clipboard
🔃, flèches dans le sens horaire ,\U0001f503,arrows clockwise
📕, livre fermé ,\U0001f4d5,closed book
📪, boîte fermée ,\U0001f4ea,mailbox closed
📫, boîte aux lettres ,\U0001f4eb,mailbox
🌂, parapluie fermé ,\U0001f302,closed umbrella
☁, nuage ,\u2601,cloud
🌩, nuage avec la foudre ,\U0001f329,cloud with lightning
⛈, tonnerre nuage et pluie ,\u26c8,thunder cloud and rain
🌧, nuage avec de la pluie ,\U0001f327,cloud with rain
🌨, nuage de neige ,\U0001f328,cloud with snow
🤡, visage de clown ,\U0001f921,clown face
♣, clubs ,\u2663,clubs
👝, poche ,\U0001f45d,pouch
🧥, manteau ,\U0001f9e5,coat
🍸, cocktail ,\U0001f378,cocktail
🥥, coco ,\U0001f965,coconut
⚰, cercueil ,\u26b0,coffin
🥶, visage froid ,\U0001f976,cold face
💥, boum ,\U0001f4a5,boom
☄, comète ,\u2604,comet
🧭, boussole ,\U0001f9ed,compass
💽, minidisc ,\U0001f4bd,minidisc
🖱, trois souris bouton ,\U0001f5b1,three button mouse
🎊, balle confettis ,\U0001f38a,confetti ball
😖, confondu ,\U0001f616,confounded
😕, confus ,\U0001f615,confused
🚧, construction ,\U0001f6a7,construction
👷, travailleur de la construction ,\U0001f477,construction worker
👷🏿, construction carnation travailleur noir ,\U0001f477\U0001f3ff,construction worker dark skin tone
👷🏻, travailleur de la construction teint clair ,\U0001f477\U0001f3fb,construction worker light skin tone
👷🏾, peau moyenne noir travailleur de la construction ton ,\U0001f477\U0001f3fe,construction worker medium-dark skin tone
👷🏼, con struction teint moyen lumière travailleur ,\U0001f477\U0001f3fc,construction worker medium-light skin tone
👷🏽, ton travailleur de la construction de la peau moyenne ,\U0001f477\U0001f3fd,construction worker medium skin tone
🎛, boutons de commande ,\U0001f39b,control knobs
🏪, dépanneur ,\U0001f3ea,convenience store
🍚, riz ,\U0001f35a,rice
🍪, biscuit ,\U0001f36a,cookie
🍳, oeuf ,\U0001f373,egg
©, copyright ,\xa9,copyright
🛋, canapé et lampe ,\U0001f6cb,couch and lamp
🔄, flèches antihoraire ,\U0001f504,arrows counterclockwise
💑, couple avec coeur ,\U0001f491,couple with heart
👨‍❤️‍👨, couple avec l'homme de coeur homme ,\U0001f468\u200d\u2764\ufe0f\u200d\U0001f468,couple with heart man man
👩‍❤️‍👨, couple avec femme coeur homme ,\U0001f469\u200d\u2764\ufe0f\u200d\U0001f468,couple with heart woman man
👩‍❤️‍👩, couple avec coeur femme femme ,\U0001f469\u200d\u2764\ufe0f\u200d\U0001f469,couple with heart woman woman
🐮, visage de vache ,\U0001f42e,cow face
🤠, face chapeau de cowboy ,\U0001f920,cowboy hat face
🦀, crabe ,\U0001f980,crab
🖍, lower crayon gauche ,\U0001f58d,lower left crayon
💳, carte de crédit ,\U0001f4b3,credit card
🌙, croissant de lune ,\U0001f319,crescent moon
🦗, cricket ,\U0001f997,cricket
🏏, batte de cricket et balle ,\U0001f3cf,cricket bat and ball
🐊, crocodile ,\U0001f40a,crocodile
🥐, croissant ,\U0001f950,croissant
❌, x ,\u274c,x
❎, négatif carré marque croix ,\u274e,negative squared cross mark
🤞, doigts croisés ,\U0001f91e,crossed fingers
🤞🏿, doigts croisés noir teint ,\U0001f91e\U0001f3ff,crossed fingers dark skin tone
🤞🏻, teint lumière doigts croisés ,\U0001f91e\U0001f3fb,crossed fingers light skin tone
🤞🏾, peau moyenne foncé doigts ton croisés ,\U0001f91e\U0001f3fe,crossed fingers medium-dark skin tone
🤞🏼, moyenne lumière carnation doigts croisés ,\U0001f91e\U0001f3fc,crossed fingers medium-light skin tone
🤞🏽, doigts croisés carnation moyenne ,\U0001f91e\U0001f3fd,crossed fingers medium skin tone
🎌, drapeaux croisés ,\U0001f38c,crossed flags
⚔, épées croisées ,\u2694,crossed swords
👑, couronne ,\U0001f451,crown
😿, pleurer visage de chat ,\U0001f63f,crying cat face
😢, cri ,\U0001f622,cry
🔮, boule de cristal ,\U0001f52e,crystal ball
🥒, concombre ,\U0001f952,cucumber
🧁, petit gâteau ,\U0001f9c1,cupcake
🥤, Coupe de paille ,\U0001f964,cup with straw
🥌, pierre de curling ,\U0001f94c,curling stone
🦱, cheveux bouclés ,\U0001f9b1,curly hair
👨‍🦱, homme aux cheveux bouclés ,\U0001f468\u200d\U0001f9b1,curly-haired man
👩‍🦱, femme aux cheveux bouclés ,\U0001f469\u200d\U0001f9b1,curly-haired woman
➰, boucle bouclée ,\u27b0,curly loop
